Wall time,Step,Value
1712805085.8779256,4,0.25
1712805087.3475022,5,0.4000000059604645
1712805093.2049644,11,0.1818181872367859
1712805097.9622571,15,0.20000000298023224
1712805099.1264718,16,0.1875
1712805102.3998187,19,0.15789473056793213
1712805103.4442627,20,0.15000000596046448
1712805104.5268793,21,0.1428571492433548
1712805107.110799,23,0.17391304671764374
1712805108.2260017,24,0.1666666716337204
1712805122.3136337,27,0.14814814925193787
1712805126.979496,28,0.1428571492433548
1712805179.482397,39,0.1538461595773697
1712805189.224399,41,0.17073170840740204
1712805222.6166575,48,0.1666666716337204
1712805227.4321015,49,0.16326530277729034
1712805232.0518215,50,0.1599999964237213
1712805242.102632,52,0.19230769574642181
1712805256.2482047,55,0.1818181872367859
1712805270.379404,58,0.17241379618644714
1712805284.8109722,61,0.1803278625011444
1712805289.9426506,62,0.19354838132858276
1712805294.6615372,63,0.190476194024086
1712805299.7337816,64,0.203125
1712805309.4776075,66,0.21212121844291687
1712805314.165374,67,0.20895522832870483
1712805319.2073498,68,0.22058823704719543
1712805323.9078026,69,0.21739129722118378
1712805333.7340212,71,0.22535210847854614
1712805338.4376771,72,0.2222222238779068
1712805366.945193,78,0.21794871985912323
1712805376.3564782,80,0.21250000596046448
1712805381.0595536,81,0.20987653732299805
1712805390.5311892,83,0.20481927692890167
1712805404.6645749,86,0.19767442345619202
1712805422.989347,90,0.18888889253139496
1712805470.382046,100,0.1899999976158142
1712805475.4813032,101,0.19801980257034302
1712805489.6081328,104,0.19230769574642181
1712805503.680662,107,0.18691588938236237
1712805508.3857868,108,0.18518517911434174
1712805518.043726,110,0.19090908765792847
1712805552.7819858,117,0.2222222238779068
1712805577.0765467,122,0.2295081913471222
1712805596.714594,126,0.2380952388048172
1712805601.378484,127,0.23622047901153564
1712805611.5397322,129,0.24806201457977295
1712805621.2596464,131,0.25190839171409607
1712805626.3292572,132,0.25757575035095215
1712805650.482204,137,0.262773722410202
1712805655.137459,138,0.260869562625885
1712805688.1236484,145,0.24827586114406586
1712805697.9593108,147,0.25170066952705383
1712805702.7729006,148,0.25
1712805716.774839,151,0.2450331151485443
1712805749.8260057,158,0.2405063360929489
1712805764.0497057,161,0.23602484166622162
1712805774.0341249,163,0.23926380276679993
1712805783.8154023,165,0.24242424964904785
1712805812.709814,171,0.24561403691768646
1712805817.3555892,172,0.24418604373931885
1712805822.3254316,173,0.24855491518974304
1712805836.7319245,176,0.25
1712805841.4084995,177,0.24858756363391876
1712805846.0788777,178,0.24719101190567017
1712805865.5477233,182,0.2527472674846649
1712805879.6195068,185,0.24864864349365234
1712805884.3613389,186,0.24731183052062988
1712805888.4310899,187,0.24598930776119232
1712805907.2319822,191,0.2408376932144165
1712805911.8791132,192,0.2395833283662796
1712805916.5632825,193,0.23834197223186493
1712805950.159801,200,0.25
1712805964.1774926,203,0.2463054209947586
1712805969.196131,204,0.25
1712805973.8556287,205,0.2487804889678955
1712805978.4873328,206,0.24757280945777893
1712805987.7955747,208,0.24519230425357819
1712805997.271182,210,0.24285714328289032
1712806007.0505846,212,0.24528302252292633
1712806016.309116,214,0.2429906576871872
1712806025.7046003,216,0.24074074625968933
1712806029.8186488,217,0.23963133990764618
1712806044.379992,220,0.24090908467769623
1712806049.4038048,221,0.24434389173984528
1712806054.0762973,222,0.2432432472705841
1712806058.8161807,223,0.24215246737003326
1712806068.2695646,225,0.23999999463558197
1712806091.7572498,230,0.2347826063632965
1712806139.0701776,240,0.23333333432674408
1712806148.5029778,242,0.23140496015548706
1712806162.0048294,245,0.22857142984867096
1712806166.6626377,246,0.22764228284358978
1712806171.9476418,247,0.23076923191547394
1712806210.5069528,255,0.23137255012989044
1712806230.281643,259,0.23552124202251434
1712806234.9580598,260,0.23461538553237915
1712806240.148307,261,0.2375478893518448
1712806250.4481947,263,0.24334600567817688
1712806289.4356575,271,0.2509225010871887
1712806294.5329754,272,0.25367647409439087
1712806309.0736523,275,0.2545454502105713
1712806318.495308,277,0.2527075707912445
1712806328.3938043,279,0.2544802725315094
1712806337.8406217,281,0.2526690363883972
1712806347.0676014,283,0.25088340044021606
1712806351.7661426,284,0.25
1712806361.0087416,286,0.2482517510652542
1712806370.8002272,288,0.25
